UID,NETID,ORCID,FullName,FirstName,LastName,MidName,Email,date_hired,date_terminated,Title
c0f341af,rChaparo,,"""Chaparo, Robert M.""",Robert,Chaparo,M,rChaparo@school.edu,2000-11-15T00:00:00,2014-02-15T00:00:00,Professor
fd023ba6,Coghi,,"""Coghi, Behbood B.""",Behbood,Coghi,B,Coghi@school.edu,2000-11-16T00:00:00,2014-02-16T00:00:00,Professor
7a7aa175,kmMonroe,,"""Monroe, Kevin M.""",Kevin,Monroe,M,kmMonroe@school.edu,2000-11-17T00:00:00,2014-02-17T00:00:00,Executive Professor
97af54fb,dha,,"""Hauer, Dustin T.""",Dustin,Hauer,T,dha@school.edu,2000-11-18T00:00:00,2014-02-18T00:00:00,Lecturer
8422a439,jeTado,,"""Tado, John E.""",John,Tado,E,jeTado@school.edu,2000-11-19T00:00:00,2014-02-19T00:00:00,Associate Professor
883c4cb7,Rammstein,,"""Rammstein, Heather L.""",Heather,Rammstein,L,Rammstein@school.edu,2000-11-20T00:00:00,2014-02-20T00:00:00,Senior Lecturer
430cacbc,august,,"""Bloomberg, Wanda""",Wanda,Bloomberg,,august@school.edu,2000-11-21T00:00:00,2014-02-21T00:00:00,Adjunct Assistant Professor
b20fdbd9,s-Sane,,"""Sane, Stephen H.""",Stephen,Sane,H,s-Sane@school.edu,2000-11-22T00:00:00,2014-02-22T00:00:00,Distinguished Professor
c500baf1,blazenburn,,"""Grass, Kati P.""",Kati,Grass,P,,2000-11-23T00:00:00,2014-02-23T00:00:00,Veterinary Resident Instructor
9c4dca0b,aCarpou,,"""Carpou, Andreas A.""",Andreas,Carpou,A,aCarpou@school.edu,2000-11-24T00:00:00,2014-02-24T00:00:00,Professor and Head
9a25a80b,Ryak,,"""Ryak, Larry W.""",Larry,Ryak,W,Ryak@school.edu,2000-11-25T00:00:00,2014-02-25T00:00:00,Associate Professor
1921874d,Hanisg,,"""Hani, Salem G.""",Salem,Hani,G,Hanisg@school.edu,2000-11-26T00:00:00,2014-02-26T00:00:00,Associate Professor
274f2d27,kHartfield,,"""Hartfield, Lloyd K.""",Lloyd,Hartfield,K,kHartfield@school.edu,2000-11-27T00:00:00,2014-02-27T00:00:00,Lecturer
cc1476d6,d-Bilbaos,,"""Bilbaos, David L.""",David,Bilbaos,L,d-Bilbaos@school.edu,2000-11-28T00:00:00,2014-02-28T00:00:00,Professor
d138d94a,Horty,,"""Horty, Robert L.""",Robert,Horty,L,Horty@school.edu,2000-11-29T00:00:00,2014-03-01T00:00:00,Associate Professor
b9098a8e,s.Losh,,"""Losh, Stephen B.""",Stephen,Losh,B,s.Losh@school.edu,2000-11-30T00:00:00,2014-03-02T00:00:00,Assistant Professor
a90924e6,pyang,,"""Pyang, Ping""",Ping,Pyang,,pyang@school.edu,2000-12-01T00:00:00,2014-03-03T00:00:00,Professor
6ebab0fa,bill-Samac,,"""Samac, Bill""",Bill,Samac,,bill-Samac@school.edu,2000-12-02T00:00:00,2014-03-04T00:00:00,Professor
f17715d0,al-Gowan,,"""Gowan, Annie L.""",Annie,Gowan,L,al-Gowan@school.edu,2000-12-03T00:00:00,2014-03-05T00:00:00,Associate Professor
90e6f6c0,wHarter,,"""Harter, Weston W.""",Weston,Harter,W,wHarter@school.edu,2000-12-04T00:00:00,2014-03-06T00:00:00,Associate Professor
054759c0,rebeccaMcGill,,"""McGill, Rebecca E.""",Rebecca,McGill,E,rebeccaMcGill@school.edu,2000-12-05T00:00:00,2014-03-07T00:00:00,Assistant Professor
18fdb6b4,psLowess,,"""Lowess, Patricia S.""",Patricia,Lowess,S,psLowess@school.edu,2000-12-06T00:00:00,2014-03-08T00:00:00,Clinical Professor
38160486,wjKinley,,"""Kinley, William J.""",William,Kinley,J,wjKinley@school.edu,2000-12-07T00:00:00,2014-03-09T00:00:00,Senior Lecturer
9d92ca8b,serry,,"""Serry, Amie L.""",Amie,Serry,L,serry@school.edu,2000-12-08T00:00:00,2014-03-10T00:00:00,Assistant Lecturer
1aedaf52,bWinston,,"""Winston, S B.""",S,Winston,B,bWinston@school.edu,2000-12-09T00:00:00,2014-03-11T00:00:00,Professor
26f30b82,saskias,,"""Szewski, Saskia""",Saskia,Szewski,,saskias@school.edu,2000-12-10T00:00:00,2014-03-12T00:00:00,Associate Professor
96285042,Szewski,,"""Szewski, Thomas D.""",Thomas,Szewski,D,Szewski@school.edu,2000-12-11T00:00:00,2014-03-13T00:00:00,Associate Professor
24e3e4e2,woodly,,"""Woodly, Billy D.""",Billy,Woodly,D,woodly@school.edu,2000-12-12T00:00:00,2014-03-14T00:00:00,Professor
3469d15f,kPyndap,,"""Pyndap, Kathrin A.""",Kathrin,Pyndap,A,kPyndap@school.edu,2000-12-13T00:00:00,2014-03-15T00:00:00,Assistant Professor
d40b0c98,lMartin,,"""Martin, Lanny R.""",Lanny,Martin,R,lMartin@school.edu,2000-12-14T00:00:00,2014-03-16T00:00:00,Senior Lecturer
48d141da,g-Pappadopulos,,"""Pappadopulos, Gregory F.""",Gregory,Pappadopulos,F,g-Pappadopulos@school.edu,2000-12-15T00:00:00,2014-03-17T00:00:00,Professor
5677ce1c,Mepal,,"""Mepal, Bimal P.""",Bimal,Mepal,P,Mepal@school.edu,2000-12-16T00:00:00,2014-03-18T00:00:00,Assistant Professor
d522fec6,sAtckins,,"""Atckins, Stephen R.""",Stephen,Atckins,R,sAtckins@school.edu,2000-12-17T00:00:00,2014-03-19T00:00:00,Professor and Associate Dean
9ed36091,cNissen,,"""Nissen, Colleen V.""",Colleen,Nissen,V,cNissen@school.edu,2000-12-18T00:00:00,2014-03-20T00:00:00,Veterinary Intern Instructor
38f0640f,brianBriggs,,"""Briggs, Brian C.""",Brian,Briggs,C,brianBriggs@school.edu,2000-12-19T00:00:00,2014-03-21T00:00:00,Visiting Lecturer
0c7c03e3,gRetner,,"""Retner, Gary L.""",Gary,Retner,L,,2000-12-20T00:00:00,2014-03-22T00:00:00,Lecturer
bca92840,kyer,,"""Kyer, Ellisa L.""",Ellisa,Kyer,L,kyer@school.edu,2000-12-21T00:00:00,2014-03-23T00:00:00,Associate Professor
11e9b5be,jeffrey-m-b-Musner,,"""Musner, Jeffrey M.""",Jeffrey,Musner,M,jeffrey-m-b-Musner@school.edu,2000-12-22T00:00:00,2014-03-24T00:00:00,Clinical Associate Professor
194fc3c7,Pakostina,,"""Pakostina, Natalia V.""",Natalia,Pakostina,V,Pakostina@school.edu,2000-12-23T00:00:00,2014-03-25T00:00:00,Lecturer
8775e8bc,brunoh,,"""Brunoh, Linda L.""",Linda,Brunoh,L,brunoh@school.edu,2000-12-24T00:00:00,2014-03-26T00:00:00,Lecturer
ca139916,r-Tenrieth,,"""Tenrieth, Robin L.""",Robin,Tenrieth,L,r-Tenrieth@school.edu,2000-12-25T00:00:00,2014-03-27T00:00:00,Professor and Interim Head
54317d5b,garyBrison,,"""Brison, Gary T.""",Gary,Brison,T,garyBrison@school.edu,2000-12-26T00:00:00,2014-03-28T00:00:00,Associate Professor
ea775348,landy,,"""Landy, Ryland F.""",Ryland,Landy,F,landy@school.edu,2000-12-27T00:00:00,2014-03-29T00:00:00,Professor
b888266f,r-McGregor,0000-0002-5934-8808,"""McGregor, Robert B.""",Robert,McGregor,B,r-McGregor@school.edu,2000-12-28T00:00:00,2014-03-30T00:00:00,Associate Professor
dd8077e2,r-Booner,,"""Booner, Robert E.""",Robert,Booner,E,r-Booner@school.edu,2000-12-29T00:00:00,2014-03-31T00:00:00,Professor
f1c6fff3,gGartner,,"""Gartner, Gerard T.""",Gerard,Gartner,T,gGartner@school.edu,2000-12-30T00:00:00,2014-04-01T00:00:00,Professor
4663e6b4,le.Wu,,"""Wu, Le""",Le,Wu,,le.Wu@school.edu,2000-12-31T00:00:00,2014-04-02T00:00:00,Assistant Professor
a96b562e,tony-Bourgess,,"""Bourgess, Anthony""",Anthony,Bourgess,,tony-Bourgess@school.edu,2001-01-01T00:00:00,2014-04-03T00:00:00,Associate Professor
fda04cc0,aYehon,,"""Yehon, Alvin T.""",Alvin,Yehon,T,aYehon@school.edu,2001-01-02T00:00:00,2014-04-04T00:00:00,Associate Professor
bf942ec6,kevinKrisci,,"""Krisci, Kevin L.""",Kevin,Krisci,L,kevinKrisci@school.edu,2001-01-03T00:00:00,2014-04-05T00:00:00,Lecturer
fee0dccb,vuzella,,"""Vuzella, Nancy B.""",Nancy,Vuzella,B,vuzella@school.edu,2001-01-04T00:00:00,2014-04-06T00:00:00,Associate Professor
6340ff0a,herthy,,"""Herthy, Bharathi S.""",Bharathi,Herthy,S,herthy@school.edu,2001-01-05T00:00:00,2014-04-07T00:00:00,Lecturer
5cebea29,a-Thomsson,,"""Thomsson, Alston V.""",Alston,Thomsson,V,a-Thomsson@school.edu,2001-01-06T00:00:00,2014-04-08T00:00:00,Associate Professor
332dadae,rSmiths,,"""Smiths, Randolph H.""",Randolph,Smiths,H,rSmiths@school.edu,2001-01-07T00:00:00,2014-04-09T00:00:00,Clinical Professor
6dd3957c,jm-Micholssen,,"""Micholssen, John M.""",John,Micholssen,M,jm-Micholssen@school.edu,2001-01-08T00:00:00,2014-04-10T00:00:00,Associate Professor
e6ff3828,a-Poznan,,"""Poznan, Anthony N.""",Anthony,Poznan,N,a-Poznan@school.edu,2001-01-09T00:00:00,2014-04-11T00:00:00,Associate Professor
939f7165,julioBertol,,"""Bertol, Julio S.""",Julio,Bertol,S,julioBertol@school.edu,2001-01-10T00:00:00,2014-04-12T00:00:00,Associate Professor
4326eaa3,lShmidth,,"""Shmidth, Loren C.""",Loren,Shmidth,C,lShmidth@school.edu,2001-01-11T00:00:00,2014-04-13T00:00:00,Professor
1333856,jDexter,,"""Dexter, Jerry D.""",Jerry,Dexter,D,jDexter@school.edu,2001-01-12T00:00:00,2014-04-14T00:00:00,Executive Professor
